id,email,name,phone,gender,birth_date,signup_channel,utm_source,utm_medium,utm_campaign,created_at,updated_at
5c71dd45-30db-4b8f-8291-18e742bc2719,user0001_seongmingim@daum.net,김수민,061-001-3389,여성,2000-04-05,kakao,naver,organic,,2026-01-29T17:14:47+09:00,2026-01-29T17:14:47+09:00
aef784a3-286c-4a5d-a4ac-389039bcb968,user0002_lgim@naver.com,김은지,02-2654-2351,여성,2003-12-26,kakao,naver,blog,review_campaign,2026-03-05T09:18:22+09:00,2026-03-05T09:18:22+09:00
de6197b7-a290-47ee-9c34-caabdcda0f7a,user0003_eunju78@daum.net,김지혜,032-849-5931,여성,1996-08-27,google,naver,organic,,2026-01-31T12:14:29+09:00,2026-01-31T12:14:29+09:00
77c945fc-0d68-4fb1-ab02-af10d63bc972,user0004_gojia@live.com,김수빈,062-525-5341,여성,1994-12-11,kakao,kakao,cpc,spring_sale,2026-02-21T17:40:27+09:00,2026-02-21T17:40:27+09:00
5cc023a0-6781-4e02-a7ac-d85ca70019d8,user0005_hyeonjuni@hanmail.net,김지민,053-030-5641,여성,2001-11-11,kakao,instagram,social,brand_awareness,2025-09-09T17:01:53+09:00,2025-09-09T17:01:53+09:00
2d2f5aad-26df-46a2-9535-c5a9bd8d45c1,user0006_yeonggil76@dreamwiz.com,노채원,051-238-8496,여성,1992-08-23,google,naver,organic,,2026-03-20T23:53:57+09:00,2026-03-20T23:53:57+09:00
d734378e-7c6e-423b-8a12-a9dcd2d7fe6b,user0007_migyeonggim@gmail.com,이상현,041-269-1669,남성,1992-01-30,kakao,google,organic,,2025-06-19T12:40:06+09:00,2025-06-19T12:40:06+09:00
a67aff02-627d-4213-b73f-86f12de0c87e,user0008_jangsangho@naver.com,박현우,017-514-6270,남성,2003-04-16,kakao,instagram,social,brand_awareness,2025-12-31T13:12:08+09:00,2025-12-31T13:12:08+09:00
56d9826e-7e5e-4418-a6b6-9dd1051c8171,user0009_migyeonggim@naver.com,양수민,064-793-2528,여성,2001-01-31,kakao,instagram,social,brand_awareness,2026-02-12T23:51:18+09:00,2026-02-12T23:51:18+09:00
8c67ee37-f94a-4dec-9375-10109b63e070,user0010_myeongsug15@naver.com,유하은,031-391-1718,여성,1994-04-15,google,google,organic,,2026-01-26T08:16:34+09:00,2026-01-26T08:16:34+09:00
e77c6045-095e-4e9b-9e32-85478a9c18fc,user0011_yeonghwanmun@live.com,김예은,010-3465-7871,여성,1993-10-26,google,naver,blog,review_campaign,2025-08-11T15:30:01+09:00,2025-08-11T15:30:01+09:00
a6158ce1-733b-4684-b9bf-f10038fc6746,user0012_seohyeongim@gmail.com,김경자,032-051-8347,여성,1994-02-09,kakao,instagram,social,brand_awareness,2025-10-27T17:41:26+09:00,2025-10-27T17:41:26+09:00
b1dca3e6-dc6c-4b34-873f-5e7c57fd5167,user0013_egim@live.com,김현숙,033-165-6670,여성,1993-06-15,google,google,organic,,2025-10-19T21:37:47+09:00,2025-10-19T21:37:47+09:00
bc44da0a-d2e5-4dd9-8275-f5576fe51ed0,user0014_zseo@daum.net,나미숙,043-387-2624,여성,1994-06-12,kakao,kakao,cpc,spring_sale,2025-12-06T22:15:54+09:00,2025-12-06T22:15:54+09:00
1de2c931-c01f-4655-867b-f5e916d8e259,user0015_gimhyejin@gmail.com,양명자,044-267-7360,여성,1991-10-20,kakao,instagram,social,brand_awareness,2025-10-03T08:03:50+09:00,2025-10-03T08:03:50+09:00
4d2d80fa-5026-4cbb-ad01-72eb346ad328,user0016_si@dreamwiz.com,김영숙,043-430-9805,여성,1992-11-05,kakao,naver,blog,review_campaign,2025-08-20T15:21:49+09:00,2025-08-20T15:21:49+09:00
e4262c67-aeaa-492c-a0de-70af9166e6d4,user0017_minseogbag@hotmail.com,최예진,016-136-1939,여성,1991-05-19,kakao,google,organic,,2025-12-03T08:08:00+09:00,2025-12-03T08:08:00+09:00
ac97a45b-64a2-49ed-bf51-9e73f3180944,user0018_cunja35@hanmail.net,강영자,055-247-5107,여성,1994-09-25,kakao,naver,organic,,2025-09-08T11:47:04+09:00,2025-09-08T11:47:04+09:00
17fd40bd-8526-450b-bf1e-938e4a991871,user0019_migyeonggim@nate.com,최미숙,044-542-7849,여성,1991-05-21,kakao,naver,organic,,2025-05-23T17:29:41+09:00,2025-05-23T17:29:41+09:00
6463629d-a01d-46a7-8d20-2ae16202b264,user0020_caeweon12@naver.com,송옥자,033-824-4935,선택안함,1992-03-06,google,naver,organic,,2025-10-28T10:57:05+09:00,2025-10-28T10:57:05+09:00
2f16c49d-bf56-468a-b8c1-6e30d207be1c,user0021_dgim@daum.net,강수민,061-400-5242,여성,2001-01-02,google,google,organic,,2025-10-04T17:29:32+09:00,2025-10-04T17:29:32+09:00
81b2f833-94c5-4479-aaf9-825eb28b29be,user0022_gimhayun@hotmail.com,최영자,031-598-2620,여성,1999-07-01,google,naver,blog,review_campaign,2025-11-14T14:27:28+09:00,2025-11-14T14:27:28+09:00
5f7ed419-8519-47c2-ae65-0c68c0023f96,user0023_baeyeonggil@hanmail.net,배주원,033-586-9232,남성,2001-07-24,google,youtube,social,influencer_collab,2025-12-19T16:23:09+09:00,2025-12-19T16:23:09+09:00
7f46f56f-ff12-44f7-a27b-4cd57519813e,user0024_gimjihye@live.com,송춘자,018-342-1607,여성,2003-11-11,kakao,google,organic,,2025-05-24T12:35:03+09:00,2025-05-24T12:35:03+09:00
d3bbbbca-ad99-468a-bcae-5d344c850f03,user0025_jeongsug33@gmail.com,류예원,043-654-1458,여성,2001-06-11,kakao,instagram,social,brand_awareness,2025-06-23T09:18:38+09:00,2025-06-23T09:18:38+09:00
c3d51a39-3a96-44fc-a6bd-9e44c57eeb5a,user0026_gimhyeonjeong@hotmail.com,나옥자,051-019-6556,여성,2000-02-03,google,naver,organic,,2025-08-03T16:36:14+09:00,2025-08-03T16:36:14+09:00
