user_id,name,email,signup_channel,last_purchase,recency_days,frequency,monetary,R,F,M,RFM_sum,segment
c0f2e35b-fe90-4d74-87f6-70d7709a5054,김미숙,user0785_ehan@live.com,google,2026-03-26 21:49:19.388642+09:00,6,17,1840600,5,5,5,15,VIP
cc47e560-ccb6-41a6-bebe-3dbf19709375,박정순,user0707_yujin31@hotmail.com,google,2026-03-29 19:52:04.019706+09:00,3,20,1833400,5,5,5,15,VIP
a6c341e7-8956-432f-aea6-0fe53253b143,강유진,user0077_junyeong98@naver.com,kakao,2026-03-26 17:24:34.997448+09:00,6,20,1768800,5,5,5,15,VIP
d829ccf7-0fbe-4d65-9078-9adde80a39e4,김채원,user0468_ogja64@naver.com,google,2026-03-31 23:20:15.356391+09:00,1,21,1761710,5,5,5,15,VIP
b0a1196f-3880-4915-ae5a-b67be479856a,황영순,user0495_jiyeonggim@nate.com,kakao,2026-03-22 17:27:39.572663+09:00,10,21,1752840,5,5,5,15,VIP
8262fdd5-c0c2-444c-921f-c83eec4b50db,이명자,user0048_gimeunji@naver.com,kakao,2026-03-30 10:08:18.427860+09:00,2,21,1723240,5,5,5,15,VIP
3387898b-9b68-4d50-85b5-af09423b6e51,권지은,user0471_seoyunu@hotmail.com,google,2026-03-18 12:53:36.570398+09:00,14,20,1712200,5,5,5,15,VIP
0c382ed8-0f6b-4751-9862-de8cc2496523,이지영,user0429_ki@daum.net,kakao,2026-03-17 20:32:14.514198+09:00,15,16,1702020,4,5,5,14,VIP
c1ba6382-38c3-4158-b8f8-47a88ef81f1b,구민서,user0418_kbag@naver.com,google,2026-03-30 15:55:19.998568+09:00,2,22,1691400,5,5,5,15,VIP
f5de3971-1816-4ee5-973a-5778b94e58a0,강윤서,user0166_vju@live.com,google,2026-03-27 09:08:22.003307+09:00,5,21,1663780,5,5,5,15,VIP
b0f23575-e916-456d-b7fe-8d17decfe609,김지연,user0566_eungyeong58@dreamwiz.com,google,2026-03-25 20:15:21.762924+09:00,7,20,1654340,5,5,5,15,VIP
8fe75876-83e2-4cf5-a624-a58c5b3c9d19,김수빈,user0699_dhan@daum.net,kakao,2026-03-29 11:42:24.077071+09:00,3,22,1636300,5,5,5,15,VIP
af5325b1-56d7-4c27-8a68-0b3cad73749e,유영미,user0858_coeeunjeong@daum.net,google,2026-03-30 23:42:46.063697+09:00,1,20,1609860,5,5,5,15,VIP
269eab71-c9b5-4eb7-a1ea-da6e24638435,김영숙,user0985_ni@dreamwiz.com,kakao,2026-03-31 22:17:32.026319+09:00,1,20,1603560,5,5,5,15,VIP
